ID ra dec
0 10:34:20.3030 -60:38:01.806
1 10:34:21.6021 -60:38:06.135
2 10:34:22.5155 -60:38:25.646
3 10:34:25.3608 -60:39:19.302
4 10:34:13.7637 -60:37:21.964
5 10:34:15.0105 -60:37:28.358
6 10:34:23.7818 -60:39:07.472
7 10:34:22.6829 -60:39:17.585
8 10:34:12.7602 -60:37:54.573
9 10:34:20.5249 -60:38:34.434
10 10:34:15.7800 -60:38:43.182
11 10:34:12.9080 -60:38:11.638
12 10:34:09.7578 -60:37:38.210
13 10:34:09.6206 -60:38:08.395
14 10:34:11.6944 -60:37:38.993
15 10:34:13.7249 -60:39:35.463
16 10:34:09.7231 -60:39:25.084
17 10:34:09.5064 -60:38:45.705
18 10:34:06.8435 -60:39:17.157
19 10:34:05.7466 -60:39:17.323
20 10:34:20.1543 -60:39:32.367
21 10:34:19.9300 -60:39:10.239
