group  ID            ra           dec   color
    0   0 10:44:28.8192 -60:15:30.791    cyan
    0   1 10:44:26.1794 -60:15:49.868    cyan
    0   2 10:44:17.4257 -60:16:08.108    cyan
    0   3 10:44:15.6884 -60:16:22.738    cyan
    0   4 10:44:15.5489 -60:16:25.052    cyan
    0   5 10:44:15.5473 -60:16:28.399    cyan
    0   6 10:44:14.8506 -60:16:37.907    cyan
    0   7 10:44:14.6409 -60:16:42.020    cyan
    0   8 10:44:14.5134 -60:16:45.705    cyan
    0   9 10:44:13.5976 -60:16:51.776    cyan
    0  10 10:44:17.3408 -60:16:32.734    cyan
    0  11 10:44:06.1283 -60:16:15.893    cyan
    0  12 10:44:08.6730 -60:16:44.561    cyan
    0  13 10:44:08.3199 -60:16:54.996    cyan
    0  14 10:44:06.3238 -60:15:54.158    cyan
    0  15 10:44:23.0031 -60:15:45.967    cyan
    0  16 10:44:22.5576 -60:15:43.771    cyan
    0  17 10:44:18.7404 -60:16:08.912    cyan
    0  18 10:44:19.5495 -60:16:06.347    cyan
    0  19 10:44:08.0808 -60:17:14.278    cyan
    0  20 10:44:07.3205 -60:17:11.603    cyan
    0  21 10:44:07.5561 -60:17:04.521    cyan
    0  22 10:44:04.2594 -60:16:47.224    cyan
    0  23 10:44:05.9718 -60:17:08.294    cyan
    0  24 10:44:05.2466 -60:17:04.667    cyan
    0  25 10:44:04.4221 -60:16:53.057    cyan
    0  26 10:44:04.2051 -60:17:09.527    cyan
    0  27 10:44:07.7202 -60:17:36.182    cyan
    0  28 10:44:07.5181 -60:17:40.996    cyan
    0  29 10:44:12.3217 -60:17:09.620    cyan
    0  30 10:44:11.9704 -60:17:14.059    cyan
    0  31 10:44:12.0170 -60:17:20.733    cyan
    0  32 10:44:08.6146 -60:17:42.511    cyan
    0  33 10:44:24.0630 -60:16:09.848    cyan
    0  34 10:44:13.3600 -60:17:40.769    cyan
    0  35 10:44:12.4474 -60:17:37.037    cyan
    0  36 10:44:12.4911 -60:17:32.713    cyan
    0  37 10:44:13.1549 -60:17:35.203    cyan
    0  38 10:44:10.3210 -60:17:50.263    cyan
    0  39 10:44:09.7408 -60:17:46.848    cyan
    0  40 10:44:06.9617 -60:18:09.851    cyan
    0  41 10:44:06.8774 -60:18:11.876    cyan
    0  42 10:44:06.2626 -60:18:17.226    cyan
    0  43 10:44:05.7299 -60:18:24.422    cyan
    0  44 10:44:04.8512 -60:18:22.763    cyan
    0  45 10:44:05.9957 -60:18:20.490    cyan
    0  46 10:44:11.3577 -60:18:22.356    cyan
    0  47 10:44:06.7668 -60:18:29.087    cyan
    0  48 10:44:06.2103 -60:18:29.717    cyan
    0  49 10:44:04.1839 -60:18:33.353    cyan
    0  50 10:44:05.7377 -60:18:29.008    cyan
    0  51 10:44:09.1241 -60:17:53.381    cyan
    0  52 10:44:07.5515 -60:18:22.589    cyan
    0  53 10:44:11.8062 -60:17:53.384    cyan
    0  54 10:44:07.9804 -60:18:23.464    cyan
    0  55 10:44:11.9367 -60:18:17.677    cyan
    0  56 10:44:06.0837 -60:18:33.151    cyan
    0  57 10:44:05.6772 -60:18:33.828    cyan
    0  58 10:44:05.2709 -60:18:33.902    cyan
    0  59 10:44:04.7485 -60:18:40.607    cyan
    0  60 10:44:26.9668 -60:15:49.025    cyan
    0  61 10:44:28.6170 -60:15:37.200    cyan
    0  62 10:44:23.0324 -60:16:06.847    cyan
    0  63 10:44:26.1794 -60:15:49.868    cyan
    0  64 10:44:17.4257 -60:16:08.108    cyan
    0  65 10:44:15.6884 -60:16:22.738    cyan
    0  66 10:44:15.5489 -60:16:25.052    cyan
    0  67 10:44:15.5473 -60:16:28.399    cyan
    0  68 10:44:14.8506 -60:16:37.907    cyan
    0  69 10:44:14.6409 -60:16:42.020    cyan
    0  70 10:44:14.0163 -60:16:46.470    cyan
    0  71 10:44:13.5976 -60:16:51.776    cyan
    0  72 10:44:13.4621 -60:16:45.594    cyan
    0  73 10:44:08.5197 -60:16:40.653    cyan
    0  74 10:44:06.6236 -60:16:15.535    cyan
    0  75 10:44:06.6580 -60:15:40.073    cyan
    0  76 10:44:07.5528 -60:16:41.434    cyan
    0  77 10:44:23.3943 -60:15:47.725    cyan
    0  78 10:44:22.5576 -60:15:43.771    cyan
    0  79 10:44:18.7404 -60:16:08.912    cyan
    0  80 10:44:18.3452 -60:16:11.372    cyan
    0  81 10:44:08.0808 -60:17:14.278    cyan
    0  82 10:44:07.3203 -60:17:11.939    cyan
    0  83 10:44:07.5961 -60:17:14.264    cyan
    0  84 10:44:05.3151 -60:16:28.983    cyan
    0  85 10:44:05.9718 -60:17:08.294    cyan
    0  86 10:44:05.2466 -60:17:04.667    cyan
    0  87 10:44:04.4221 -60:16:53.057    cyan
    0  88 10:44:04.2051 -60:17:09.527    cyan
    0  89 10:44:07.7202 -60:17:36.182    cyan
    0  90 10:44:07.5181 -60:17:40.996    cyan
    0  91 10:44:12.3217 -60:17:09.620    cyan
    0  92 10:44:11.9704 -60:17:14.059    cyan
    0  93 10:44:12.0170 -60:17:20.733    cyan
    0  94 10:44:08.6146 -60:17:42.511    cyan
    0  95 10:44:24.0630 -60:16:09.848    cyan
    0  96 10:44:13.3600 -60:17:40.769    cyan
    0  97 10:44:12.4474 -60:17:37.037    cyan
    0  98 10:44:12.4911 -60:17:32.713    cyan
    0  99 10:44:13.1549 -60:17:35.203    cyan
    0 100 10:44:10.3210 -60:17:50.263    cyan
    0 101 10:44:09.7408 -60:17:46.848    cyan
    0 102 10:44:06.7361 -60:18:09.005    cyan
    0 103 10:44:06.6510 -60:18:12.709    cyan
    0 104 10:44:05.3582 -60:18:17.759    cyan
    0 105 10:44:05.7299 -60:18:24.422    cyan
    0 106 10:44:05.1910 -60:18:21.374    cyan
    0 107 10:44:06.0359 -60:18:16.013    cyan
    0 108 10:44:07.7540 -60:17:57.898    cyan
    0 109 10:44:06.7668 -60:18:29.087    cyan
    0 110 10:44:06.0594 -60:18:29.993    cyan
    0 111 10:44:04.4087 -60:18:35.599    cyan
    0 112 10:44:05.4349 -60:18:31.519    cyan
    0 113 10:44:07.5374 -60:18:02.293    cyan
    0 114 10:44:07.5515 -60:18:22.589    cyan
    0 115 10:44:08.9243 -60:18:30.535    cyan
    0 116 10:44:07.9804 -60:18:23.464    cyan
    0 117 10:44:13.7135 -60:18:04.848    cyan
    0 118 10:44:06.0837 -60:18:33.151    cyan
    0 119 10:44:05.6772 -60:18:33.828    cyan
    0 120 10:44:05.2709 -60:18:33.902    cyan
    0 121 10:44:05.3161 -60:18:36.145    cyan
    0 122 10:44:26.5557 -60:15:51.074    cyan
    0 123 10:44:28.7304 -60:15:30.352    cyan
    0 124 10:44:28.1856 -60:15:38.322    cyan
    0 125 10:44:11.8872 -60:16:00.570    cyan
    0 126 10:44:11.7216 -60:15:57.737    cyan
    0 127 10:44:15.1176 -60:16:16.424    cyan
    0 128 10:44:14.5527 -60:16:11.594    cyan
    0 129 10:44:12.2761 -60:16:09.487    cyan
    0 130 10:44:05.0522 -60:16:36.790    cyan
    0 131 10:44:15.3070 -60:16:19.195    cyan
    0 132 10:44:14.8131 -60:16:13.545    cyan
    0 133 10:44:06.6732 -60:16:36.256    cyan
    0 134 10:44:15.3070 -60:16:19.195    cyan
    0 135 10:44:15.3070 -60:16:19.195    cyan
    0 136 10:44:15.3070 -60:16:19.195    cyan
    0 137 10:44:08.4490 -60:16:08.343    cyan
    0 138 10:44:06.8411 -60:15:35.375    cyan
    0 139 10:44:06.7408 -60:17:06.637    cyan
    0 140 10:44:05.3369 -60:17:12.642    cyan
    0 141 10:44:20.1638 -60:16:36.440    cyan
    0 142 10:44:15.5417 -60:17:08.575    cyan
    0 143 10:44:13.2871 -60:16:59.446    cyan
    0 144 10:44:16.6804 -60:16:48.448    cyan
    0 145 10:44:15.3663 -60:16:57.149    cyan
    0 146 10:44:08.9295 -60:16:34.282    cyan
    0 147 10:44:03.2750 -60:18:12.076    cyan
    0 148 10:44:02.6668 -60:18:21.575    cyan
    0 149 10:44:03.0844 -60:18:15.990    cyan
    0 150 10:44:02.8044 -60:18:44.254    cyan
    0 151 10:44:01.8394 -60:18:19.029    cyan
    0 152 10:44:01.4845 -60:18:46.172    cyan
    1 160 10:44:11.2804 -60:18:34.535 magenta
    1 161 10:44:09.8410 -60:18:38.943 magenta
    1 162 10:44:09.3576 -60:18:47.382 magenta
    1 163 10:44:08.8304 -60:18:47.633 magenta
    1 164 10:44:05.2165 -60:19:42.672 magenta
    1 165 10:44:04.6340 -60:19:42.655 magenta
    1 166 10:44:04.1767 -60:19:42.023 magenta
    1 167 10:44:11.9007 -60:18:48.183 magenta
    1 168 10:44:12.6889 -60:18:52.141 magenta
    1 169 10:44:15.2470 -60:18:06.873 magenta
    1 170 10:44:12.2026 -60:18:26.256 magenta
    1 171 10:44:06.0177 -60:19:53.572 magenta
    1 172 10:44:06.9189 -60:19:49.150 magenta
    1 173 10:44:02.9814 -60:19:36.795 magenta
    1 174 10:44:12.7168 -60:19:10.340 magenta
    1 175 10:44:19.8638 -60:19:19.096 magenta
    1 176 10:44:14.8218 -60:19:19.712 magenta
    1 177 10:44:11.2804 -60:18:34.535 magenta
    1 178 10:44:09.8410 -60:18:38.943 magenta
    1 179 10:44:09.3576 -60:18:47.382 magenta
    1 180 10:44:08.8304 -60:18:47.633 magenta
    1 181 10:44:05.2165 -60:19:42.672 magenta
    1 182 10:44:04.6340 -60:19:42.655 magenta
    1 183 10:44:04.1767 -60:19:42.023 magenta
    1 184 10:44:11.9007 -60:18:48.183 magenta
    1 185 10:44:13.5009 -60:18:56.194 magenta
    1 186 10:44:15.2470 -60:18:06.873 magenta
    1 187 10:44:12.2026 -60:18:26.256 magenta
    1 188 10:44:06.0177 -60:19:53.572 magenta
    1 189 10:44:06.9189 -60:19:49.150 magenta
    1 190 10:44:02.9814 -60:19:36.795 magenta
    1 191 10:44:13.7499 -60:19:06.337 magenta
    1 192 10:44:19.8638 -60:19:19.096 magenta
    1 193 10:44:14.8218 -60:19:19.712 magenta
    1 194 10:44:07.2477 -60:18:35.630 magenta
    1 195 10:44:06.9634 -60:18:59.809 magenta
    1 196 10:44:12.2207 -60:19:13.261 magenta
    1 197 10:44:16.7837 -60:19:04.512 magenta
    1 198 10:44:12.6212 -60:18:31.349 magenta
    1 199 10:44:12.0751 -60:18:38.590 magenta
    1 200 10:44:12.7234 -60:18:44.251 magenta
    1 201 10:44:09.7004 -60:18:59.717 magenta
    1 202 10:44:05.6186 -60:19:20.962 magenta
    1 203 10:44:03.6044 -60:19:31.381 magenta
    1 204 10:44:13.0503 -60:19:30.043 magenta
    1 205 10:44:14.7873 -60:19:30.089 magenta
    1 206 10:44:21.8957 -60:19:36.309 magenta
    2 210 10:44:49.8055 -60:13:34.884     red
    2 211 10:44:50.6519 -60:13:35.081     red
    2 212 10:44:50.8495 -60:13:43.610     red
    2 213 10:44:40.1472 -60:13:06.338     red
    2 214 10:44:38.0883 -60:13:03.172     red
    2 215 10:44:47.8661 -60:13:27.268     red
    2 216 10:44:48.0139 -60:13:35.055     red
    2 217 10:44:44.0622 -60:12:34.900     red
    2 218 10:44:43.4351 -60:13:34.261     red
    2 219 10:44:44.1297 -60:13:43.909     red
    2 220 10:44:42.5891 -60:13:33.508     red
    2 221 10:44:40.5423 -60:13:11.701     red
    2 222 10:44:43.0284 -60:14:10.958     red
    2 223 10:44:42.8701 -60:14:29.902     red
    2 224 10:44:43.1557 -60:14:37.667     red
    2 225 10:44:42.8601 -60:14:48.434     red
    2 226 10:44:48.7247 -60:13:26.475     red
    2 227 10:44:50.6519 -60:13:35.081     red
    2 228 10:44:50.8495 -60:13:43.610     red
    2 229 10:44:33.4960 -60:13:02.599     red
    2 230 10:44:37.2774 -60:13:00.808     red
    2 231 10:44:47.8661 -60:13:27.268     red
    2 232 10:44:48.0139 -60:13:35.055     red
    2 233 10:44:40.8629 -60:12:30.429     red
    2 234 10:44:43.4351 -60:13:34.261     red
    2 235 10:44:44.1297 -60:13:43.909     red
    2 236 10:44:42.5891 -60:13:33.508     red
    2 237 10:44:35.6252 -60:13:19.689     red
    2 238 10:44:43.0284 -60:14:10.958     red
    2 239 10:44:32.8651 -60:13:00.998     red
    2 240 10:44:43.1557 -60:14:37.667     red
    2 241 10:44:42.9383 -60:14:47.274     red
    3 250 10:44:04.8473 -60:13:33.054   green
    3 251 10:44:15.4487 -60:11:53.916   green
    3 252 10:44:18.6963 -60:11:46.562   green
    3 253 10:44:17.3871 -60:12:12.228   green
    3 254 10:43:59.7096 -60:13:10.842   green
    3 255 10:44:14.3604 -60:12:06.201   green
    3 256 10:44:07.7203 -60:13:38.085   green
    3 257 10:44:13.5198 -60:12:36.161   green
    3 258 10:44:13.0509 -60:12:39.903   green
    3 259 10:44:21.0947 -60:12:51.579   green
    3 260 10:44:04.8474 -60:12:30.768   green
    3 261 10:44:04.8449 -60:12:35.217   green
    3 262 10:44:14.2194 -60:13:25.030   green
    3 263 10:44:00.4028 -60:13:44.603   green
    3 264 10:44:17.3422 -60:11:51.948   green
    3 265 10:44:17.4480 -60:11:57.012   green
    3 266 10:44:17.4434 -60:12:07.392   green
    3 267 10:44:15.1052 -60:12:08.815   green
    3 268 10:44:14.3604 -60:12:06.201   green
    3 269 10:44:21.7014 -60:12:54.109   green
    3 270 10:44:13.7918 -60:12:32.943   green
    3 271 10:44:13.0509 -60:12:39.903   green
    3 272 10:44:20.3360 -60:12:54.786   green
    3 273 10:44:04.8474 -60:12:30.768   green
    3 274 10:44:04.8449 -60:12:35.217   green
    3 275 10:44:14.2194 -60:13:25.030   green
    3 276 10:44:04.8157 -60:11:50.456   green
    3 277 10:44:02.1707 -60:11:42.714   green
    3 278 10:44:02.2608 -60:13:47.681   green
    3 279 10:44:05.7831 -60:13:40.132   green
    3 280 10:44:01.7101 -60:11:21.012   green
    3 281 10:44:25.7086 -60:11:42.549   green
    4 290 10:44:29.2279 -60:14:41.682    blue
    4 291 10:44:23.7317 -60:14:13.841    blue
    4 292 10:44:27.8762 -60:14:52.365    blue
    4 293 10:44:28.4995 -60:14:57.030    blue
    4 294 10:44:29.9299 -60:14:30.266    blue
    4 295 10:44:23.2559 -60:15:20.660    blue
    4 296 10:44:23.7317 -60:14:13.841    blue
    4 297 10:44:27.8762 -60:14:52.365    blue
    4 298 10:44:28.7689 -60:15:01.066    blue
    4 299 10:44:29.6059 -60:14:27.842    blue
